Date,rstar (filtered),g (filtered),z (filtered),output gap (filtered),,All results are output from the Stage 3 model.,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap,,Date,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1989-01-01,5.19818490772758,4.1209978334966,1.07718707423098,0.722348207980588,,,,,,,,,,,,,,,,,,,,,-1.46824217572758,,1989-01-01,10.684165045902,3.10242997701184,7.58173506889013,2.4487376781662
1989-04-01,3.96175452582984,3.64129756766278,0.320456958167069,0.245172578541712,,,,,,,,,,,,,,,,,,,,,0.149332479170155,,1989-04-01,10.7615108245114,3.04328582544587,7.71822499906556,1.03438023204399
1989-07-01,4.23481247108068,3.74353003142676,0.49128243965392,0.313202014235117,,,,,,,,,,,,,,,,,,,,,0.327484319919323,,1989-07-01,11.0353007180269,3.00655656715791,8.02874415086898,1.40515876018873
1989-10-01,4.88357403260892,4.10702815456039,0.776545878048525,0.538813555794036,,,,,,,,,,,,,,,,,,,,,0.185920286391084,,1989-10-01,11.041841404205,2.96115569805847,8.08068570614656,2.60434520735924
1990-01-01,5.01371422761355,3.75901198928712,1.25470223832643,0.41109074611046,,,,,,,,,,,,,,,,,,,,,0.317153750386451,,1990-01-01,10.9620443703809,2.89468658438668,8.06735778599417,1.66249001627057
1990-04-01,5.81601357232334,4.12786675929989,1.68814681302345,0.661116327062928,,,,,,,,,,,,,,,,,,,,,0.136862544676664,,1990-04-01,10.815131951289,2.84136338446857,7.97376856682046,2.89342033484496
1990-07-01,6.89015619157472,4.24811277952282,2.6420434120519,0.886704752088463,,,,,,,,,,,,,,,,,,,,,-0.458259163574718,,1990-07-01,10.2976145110658,2.76478725983158,7.53282725123424,3.43687491700695
1990-10-01,7.37606462091484,3.96522741849037,3.41083720242448,0.839277789216567,,,,,,,,,,,,,,,,,,,,,-0.725765357914843,,1990-10-01,9.71211647989212,2.67746188702392,7.0346545928682,2.74273115877514
1991-01-01,7.14777311978001,3.95510840518136,3.19266471459865,0.708371396196185,,,,,,,,,,,,,,,,,,,,,-0.436649112780005,,1991-01-01,9.15300712502529,2.59956052198498,6.55344660304031,2.82006588559659
1991-04-01,6.72960875457386,3.96984121839094,2.75976753618292,0.545444683112294,,,,,,,,,,,,,,,,,,,,,-0.113313850573863,,1991-04-01,8.46367057151241,2.51803097683018,5.94563959468223,2.98447513683959
1991-07-01,7.47965605747542,3.75430917112132,3.7253468863541,0.602203015569103,,,,,,,,,,,,,,,,,,,,,-2.68316833747542,,1991-07-01,7.72500397094577,2.4321422033727,5.29286176757306,2.5258660646528
1991-10-01,7.0287883781842,3.67772072790606,3.35106765027814,0.448398912595621,,,,,,,,,,,,,,,,,,,,,-2.9947954241842,,1991-10-01,6.9922937811648,2.35226630348713,4.64002747767766,2.45000042044228
1992-01-01,7.34792695797051,3.54327064153948,3.80465631643103,0.500006949629835,,,,,,,,,,,,,,,,,,,,,-3.96096520297051,,1992-01-01,6.2248123072605,2.27269155879175,3.95212074846874,2.27263410925207
1992-04-01,7.53603779261087,3.34860395994231,4.18743383266855,0.522025386040809,,,,,,,,,,,,,,,,,,,,,-5.54468239961087,,1992-04-01,5.48058924786052,2.19595532386997,3.28463392399055,1.91554393916408
1992-07-01,5.25408346140027,3.26680504895483,1.98727841244544,0.0154744498611876,,,,,,,,,,,,,,,,,,,,,-3.12569778240027,,1992-07-01,4.76266188544085,2.12525342526454,2.63740846017631,1.80411293020808
1992-10-01,5.01336326481723,2.9461710632365,2.06719220158073,-0.0598968776177458,,,,,,,,,,,,,,,,,,,,,-3.65531968381723,,1992-10-01,4.14351635303609,2.05769889962758,2.08581745340851,1.06819297841832
1993-01-01,4.72224987776896,2.98561187438908,1.73663800337988,-0.0299709915699395,,,,,,,,,,,,,,,,,,,,,-3.95429845776896,,1993-01-01,3.571571755785,2.00322313863245,1.56834861715256,1.39925199479001
1993-04-01,4.82079950817181,2.66896627663543,2.15183323153639,-0.0063106612490742,,,,,,,,,,,,,,,,,,,,,-3.63310782017181,,1993-04-01,3.033966160748,1.94477105489034,1.08919510585765,0.680552272025636
1993-07-01,4.49354492400689,2.41281188588246,2.08073303812443,-0.0650657625764097,,,,,,,,,,,,,,,,,,,,,-3.71935630300689,,1993-07-01,2.7148919693168,1.90023369922295,0.814658270093846,0.0846461347521199
1993-10-01,3.61160545739435,2.38844573871401,1.22315971868034,-0.187884180894969,,,,,,,,,,,,,,,,,,,,,-2.71759086039435,,1993-10-01,2.50080985198205,1.86693970305563,0.633870148926415,0.138647091594976
